trackerType        | createThreshold    | removeThreshold    | surviveThreshold   | surviveMovePercent | minScorePrediction | maxAge             | mAP                | Elapsed time       | GTmAP              | Memory            
cached kcf         |           0.000000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.042288 |          18.901814 |           0.044866 |     9364492.000000
cached kcf         |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.041562 |          97.536513 |           0.044158 |     8662784.000000
cached kcf         |           0.000000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.041467 |          10.325664 |           0.044017 |     8878192.000000
cached kcf         |           0.000000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.041365 |          30.422292 |           0.043757 |    10130456.000000
cached csrt        |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.041201 |        1360.557639 |           0.043809 |    11164120.000000
cached fake        |           0.000000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040942 |           5.717412 |           0.043384 |    14716676.000000
cached csrt        |           0.000000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040905 |         375.615608 |           0.043414 |    13347796.000000
cached medianflow  |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040839 |         169.362108 |           0.043296 |    10245180.000000
cached csrt        |           0.000000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040823 |         219.323589 |           0.043322 |    11976352.000000
cached medianflow  |           0.000000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040719 |          52.144022 |           0.043025 |    12070408.000000
cached mil         |           0.000000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040696 |         752.567455 |           0.043162 |    13738220.000000
cached mosse       |           0.000000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040649 |           2.952562 |           0.042961 |     8545084.000000
cached mil         |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040603 |        2966.127280 |           0.043125 |    11587240.000000
cached mosse       |           0.000000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040544 |           2.327529 |           0.042926 |     8178340.000000
cached medianflow  |           0.000000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040469 |          36.569557 |           0.042829 |    11013964.000000
cached mosse       |           0.000000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040463 |           3.327320 |           0.042570 |     9144836.000000
cached fake        |           0.000000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040422 |           5.014447 |           0.042850 |    13124004.000000
cached mosse       |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040393 |          20.260948 |           0.042765 |     8055892.000000
cached mil         |           0.000000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040362 |         388.189128 |           0.042816 |    12412260.000000
cached csrt        |           0.200000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.040225 |         122.919859 |           0.042397 |     9394001.000000
