createThreshold    | removeThreshold    | surviveThreshold   | surviveMovePercent | minScorePrediction | Result 
          0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.799722
          0.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000 |           0.799722
          0.000000 |           0.000000 |           1.000000 |           0.000000 |           0.000000 |           0.799722
          0.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000 |           0.799722
          0.000000 |           1.000000 |           1.000000 |           0.000000 |           0.000000 |           0.799722
          0.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000 |           0.799722
          0.000000 |           1.000000 |           0.000000 |           0.000000 |           0.000000 |           0.703179
          0.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000 |           0.661886
          0.000000 |           0.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000
          0.000000 |           0.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000
          0.000000 |           0.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000
          0.000000 |           0.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000
          0.000000 |           1.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000
          0.000000 |           1.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000
          0.000000 |           1.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000
          0.000000 |           1.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000
          1.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000
          1.000000 |           0.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000
          1.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000 |           0.000000
          1.000000 |           0.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000
          1.000000 |           0.000000 |           1.000000 |           0.000000 |           0.000000 |           0.000000
          1.000000 |           0.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000
          1.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000 |           0.000000
          1.000000 |           0.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000
          1.000000 |           1.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000
          1.000000 |           1.000000 |           0.000000 |           0.000000 |           1.000000 |           0.000000
          1.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000 |           0.000000
          1.000000 |           1.000000 |           0.000000 |           1.000000 |           1.000000 |           0.000000
          1.000000 |           1.000000 |           1.000000 |           0.000000 |           0.000000 |           0.000000
          1.000000 |           1.000000 |           1.000000 |           0.000000 |           1.000000 |           0.000000
          1.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000 |           0.000000
          1.000000 |           1.000000 |           1.000000 |           1.000000 |           1.000000 |           0.000000
