trackerType        | createThreshold    | removeThreshold    | surviveThreshold   | surviveMovePercent | minScorePrediction | mAP                | Elapsed time       | GTmAP              | Memory            
cached medianflow  |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           2.369661 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.010000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.048866 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.020000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.047874 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.030000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.048868 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.040000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.045882 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.050000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.047869 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.060000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.045882 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.070000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.045879 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.080000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.043878 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.090000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.045878 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.100000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.046882 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.110000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.045871 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.120000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.044880 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.130000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.046871 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.140000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.044890 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.150000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.057835 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.160000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.042886 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.170000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.054857 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.180000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.042887 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.190000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.040905 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.038881 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.210000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.040887 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.220000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.067853 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.230000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.039860 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.240000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.051864 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.250000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.044882 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.260000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.040891 |           0.022835 |       75268.000000
cached medianflow  |           0.000000 |           0.270000 |           0.000000 |           0.000000 |           0.000000 |           0.017057 |           0.053861 |           0.022835 |       75296.000000
